,project_name,project_url,snky_url,project_test_frequency,project_total_dependency,project_last_tested,project_issue_count,project_monitored
102,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/3261d34c-c9d1-46e7-8eeb-9b3fe5e67f92,daily,44,2023-01-19T22:04:03.251Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
103,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/f2d982b1-07d2-4cca-ba7e-6585b2df5d5d,daily,51,2023-01-19T22:02:16.008Z,"IssueCounts(low=4, medium=14, high=49, critical=1)",True
104,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/9039319f-1333-4e5e-bee5-837c5e838490,daily,0,2023-01-19T21:51:36.278Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
105,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/cc1189ae-c093-4723-bef8-8d80c8049867,daily,495,2023-01-19T21:48:38.243Z,"IssueCounts(low=10, medium=42, high=63, critical=2)",True
106,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/a3fdfd9f-dd7a-43f3-80ba-a81d4cf4bf8d,daily,1,2023-01-19T21:30:42.501Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
107,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/d20248c6-07d8-46e1-b2a0-95aadcc547b1,daily,1,2023-01-19T21:08:26.426Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
108,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/1fb3917e-df62-488a-95b0-23caa5c6a2d6,daily,0,2023-01-19T21:00:54.404Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
109,bedrock-1rn,http://bitbucket.org/ninjafactory/upi-niyopay-frontend-workbench,https://app.snyk.io/org/bedrock-1rn/project/5fc1d8ef-dd48-4f7c-8c06-a20b002878b3,daily,184,2023-01-19T20:34:28.470Z,"IssueCounts(low=0, medium=1, high=0, critical=0)",True
110,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/ae416b66-a190-4ae2-9eb9-d349a290ebc5,daily,0,2023-01-19T20:26:44.980Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
111,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/0c88aa3e-0c8f-497d-accc-729291b2086b,daily,45,2023-01-19T20:23:33.153Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
